,player_id,weight,current_team,college,draft_team,draft_round,draft_position,draft_year,position_cleaned,year,game_location,player_age,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points,height_inches
77,18011,251.0,None,Southern Illinois,Minnesota Vikings,5.0,143.0,2015.0,TE,2015,A,8630.375,0,0,0,0.0,0,0,0,0,0,0,0,10,7,71,0,12,0,0,0,0.0,0.0,14.1,0,14.1,74.0
78,18011,251.0,None,Southern Illinois,Minnesota Vikings,5.0,143.0,2015.0,TE,2015,H,8639.083333333334,0,0,0,0.0,0,0,0,0,0,0,0,8,5,40,0,0,0,0,0,0.0,0.0,9.0,0,9.0,74.0
79,18011,251.0,None,Southern Illinois,Minnesota Vikings,5.0,143.0,2015.0,TE,2016,A,9049.0,0,0,0,0.0,0,0,0,0,0,0,0,1,1,6,0,0,0,0,0,0.0,0.0,1.6,0,1.6,74.0
80,18011,251.0,None,Southern Illinois,Minnesota Vikings,5.0,143.0,2015.0,TE,2016,H,8988.333333333334,0,0,0,0.0,0,0,0,0,0,0,0,1,1,7,0,0,0,0,0,0.0,0.0,1.7,0,1.7,74.0
717,4931,258.0,None,South Carolina,Indianapolis Colts,7.0,254.0,2013.0,TE,2015,A,9064.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,75.0
718,4931,258.0,None,South Carolina,Indianapolis Colts,7.0,254.0,2013.0,TE,2015,H,9050.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,75.0
727,23066,254.0,Oakland Raiders,Miami (FL),Oakland Raiders,3.0,68.0,2015.0,TE,2015,A,8788.3125,0,0,0,0.0,0,0,0,0,0,0,0,24,13,175,2,0,0,0,0,0.0,0.0,42.5,0,42.5,76.0
728,23066,254.0,Oakland Raiders,Miami (FL),Oakland Raiders,3.0,68.0,2015.0,TE,2015,H,8781.78125,0,0,0,0.0,0,0,0,0,0,0,0,26,15,154,1,0,0,0,0,0.0,0.0,36.40000000000001,0,36.40000000000001,76.0
729,23066,254.0,Oakland Raiders,Miami (FL),Oakland Raiders,3.0,68.0,2015.0,TE,2016,A,9151.722222222224,0,0,0,0.0,0,0,0,0,0,0,0,29,17,178,0,0,0,0,0,0.0,0.0,34.800000000000004,0,34.800000000000004,76.0
730,23066,254.0,Oakland Raiders,Miami (FL),Oakland Raiders,3.0,68.0,2015.0,TE,2016,H,9153.464285714286,0,0,0,0.0,0,0,0,0,0,0,0,25,18,197,3,0,0,0,0,0.0,0.0,55.7,0,55.7,76.0
731,23066,254.0,Oakland Raiders,Miami (FL),Oakland Raiders,3.0,68.0,2015.0,TE,2017,A,9483.35,0,0,0,0.0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0.0,0.0,0.9,0,0.9,76.0
732,23066,254.0,Oakland Raiders,Miami (FL),Oakland Raiders,3.0,68.0,2015.0,TE,2017,H,9498.0,0,0,0,0.0,0,0,0,0,0,0,0,4,2,11,0,0,0,0,0,0.0,0.0,3.1,0,3.1,76.0
915,6318,250.0,Cincinnati Bengals,Notre Dame,Cincinnati Bengals,1.0,21.0,2013.0,TE,2015,A,9169.85,0,0,0,0.0,0,0,0,0,0,0,0,30,20,195,5,0,0,0,0,0.0,0.0,69.5,0,69.5,78.0
916,6318,250.0,Cincinnati Bengals,Notre Dame,Cincinnati Bengals,1.0,21.0,2013.0,TE,2015,H,9199.694444444445,0,0,0,0.0,0,0,0,0,0,0,0,53,37,478,8,0,0,0,0,0.0,0.0,132.79999999999998,0,132.79999999999998,78.0
917,6318,250.0,Cincinnati Bengals,Notre Dame,Cincinnati Bengals,1.0,21.0,2013.0,TE,2016,A,9576.833333333334,0,0,0,0.0,0,0,0,0,0,0,0,22,13,212,3,0,0,0,0,0.0,0.0,52.2,0,52.2,78.0
918,6318,250.0,Cincinnati Bengals,Notre Dame,Cincinnati Bengals,1.0,21.0,2013.0,TE,2016,H,9568.1,0,0,0,0.0,0,0,0,0,0,0,0,25,16,182,2,0,0,0,0,0.0,0.0,46.2,0,46.2,78.0
919,6318,250.0,Cincinnati Bengals,Notre Dame,Cincinnati Bengals,1.0,21.0,2013.0,TE,2017,H,9865.75,0,0,0,0.0,0,0,0,0,0,0,0,5,4,46,0,0,0,0,0,0.0,0.0,8.6,0,8.6,78.0
1046,13178,266.0,Cleveland Browns,Northeastern,None,0.0,0.0,0.0,TE,2016,A,9483.333333333334,0,0,0,0.0,0,0,0,0,0,0,0,2,1,4,0,0,0,0,0,0.0,0.0,1.4,0,1.4,79.0
1047,13178,266.0,Cleveland Browns,Northeastern,None,0.0,0.0,0.0,TE,2016,H,9497.55,0,0,0,0.0,0,0,0,0,0,0,0,1,1,18,1,0,0,0,0,0.0,0.0,8.8,0,8.8,79.0
1048,13178,266.0,Cleveland Browns,Northeastern,None,0.0,0.0,0.0,TE,2016,N,9536.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,79.0
1049,13178,266.0,Cleveland Browns,Northeastern,None,0.0,0.0,0.0,TE,2017,H,9802.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,79.0
1376,6721,255.0,Miami Dolphins,Notre Dame,Dallas Cowboys,2.0,53.0,2006.0,TE,2015,A,11528.75,0,0,0,0.0,0,0,0,0,0,0,0,19,15,179,2,0,0,0,0,0.0,0.0,44.9,0,44.9,76.0
1377,6721,255.0,Miami Dolphins,Notre Dame,Dallas Cowboys,2.0,53.0,2006.0,TE,2015,H,11524.75,0,0,0,0.0,0,0,0,0,0,0,0,23,11,110,0,0,0,0,0,0.0,0.0,22.0,0,22.0,76.0
1378,6721,255.0,Miami Dolphins,Notre Dame,Dallas Cowboys,2.0,53.0,2006.0,TE,2016,A,11889.625,0,0,0,0.0,0,0,0,0,0,0,0,7,4,32,0,0,0,0,0,0.0,0.0,7.2,0,7.2,76.0
1379,6721,255.0,Miami Dolphins,Notre Dame,Dallas Cowboys,2.0,53.0,2006.0,TE,2016,H,11882.375,0,0,0,0.0,0,0,0,0,0,0,0,6,4,51,2,0,0,0,0,0.0,0.0,21.1,0,21.1,76.0
1380,6721,255.0,Miami Dolphins,Notre Dame,Dallas Cowboys,2.0,53.0,2006.0,TE,2017,A,12236.75,0,0,0,0.0,0,0,0,0,0,0,0,2,2,11,0,0,0,0,0,0.0,0.0,3.1,0,3.1,76.0
1381,6721,255.0,Miami Dolphins,Notre Dame,Dallas Cowboys,2.0,53.0,2006.0,TE,2017,H,12239.65,0,0,0,0.0,0,0,0,0,0,0,0,7,5,34,1,0,0,0,0,0.0,0.0,14.4,0,14.4,76.0
1385,21684,246.0,Indianapolis Colts,Miami (FL),None,0.0,0.0,0.0,TE,2015,H,8640.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0,77.0
1386,21684,246.0,Indianapolis Colts,Miami (FL),None,0.0,0.0,0.0,TE,2016,A,8948.0,0,0,0,0.0,0,0,0,0,0,0,0,16,11,210,1,0,0,0,0,0.0,0.0,38.0,0,38.0,77.0
1387,21684,246.0,Indianapolis Colts,Miami (FL),None,0.0,0.0,0.0,TE,2016,H,8946.75,0,0,0,0.0,0,0,0,0,0,0,0,6,4,87,0,0,0,0,0,0.0,0.0,12.7,0,12.7,77.0
1630,12649,240.0,Cincinnati Bengals,Rutgers,Cincinnati Bengals,3.0,85.0,2015.0,TE,2015,A,8425.6875,0,0,0,0.0,0,0,0,0,0,0,0,11,8,94,1,0,0,0,0,0.0,0.0,23.4,0,23.4,77.0
1631,12649,240.0,Cincinnati Bengals,Rutgers,Cincinnati Bengals,3.0,85.0,2015.0,TE,2015,H,8432.111111111111,0,0,0,0.0,0,0,0,0,0,0,0,4,3,35,0,0,0,0,0,0.0,0.0,6.5,0,6.5,77.0
