,player_id,weight,draft_round,draft_position,draft_year,game_location,position_cleaned,height_inches,year,player_age,passing_attempts,passing_completions,passing_yards,passing_rating,passing_touchdowns,passing_interceptions,passing_sacks,passing_sacks_yards_lost,rushing_attempts,rushing_yards,rushing_touchdowns,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,kick_return_yards,kick_return_touchdowns,punt_return_yards,punt_return_touchdowns,total_passing_fantasy_points,total_rushing_fantasy_points,total_receiving_fantasy_points,total_other_fantasy_points,total_combined_fantasy_points
11,19449,186,3,82,2010,A,WR,71,2017,11184.5,0,0,0,0.0,0,0,0,0,0,0,0,26,11,117,0,0,0,0,0,0.0,0.0,22.7,0,22.7
12,19449,186,3,82,2010,H,WR,71,2017,11168.33333,0,0,0,0.0,0,0,0,0,0,0,0,46,26,343,2,0,0,-2,0,0.0,0.0,72.3,0,72.3
19,17858,204,4,126,2011,A,RB,71,2017,10573.05,0,0,0,0.0,0,0,0,0,34,113,0,17,12,91,0,0,0,0,0,0.0,11.3,21.1,0,32.4
20,17858,204,4,126,2011,H,RB,71,2017,10587.95,0,0,0,0.0,0,0,0,0,68,341,2,9,8,67,0,0,0,0,0,0.0,46.1,14.7,0,60.8
33,15657,203,4,107,2016,A,WR,73,2017,8888.4,0,0,0,0.0,0,0,0,0,1,-5,0,13,3,52,1,35,0,0,0,0.0,-0.5,14.2,0,13.7
34,15657,203,4,107,2016,H,WR,73,2017,8905.0,0,0,0,0.0,0,0,0,0,0,0,0,10,6,81,0,50,0,0,0,0.0,0.0,14.1,0,14.1
39,10157,190,0,0,0,A,WR,72,2017,9543.5,0,0,0,0.0,0,0,0,0,0,0,0,2,2,108,2,0,0,0,0,0.0,0.0,24.8,0,24.8
40,10157,190,0,0,0,H,WR,72,2017,9558.166667,0,0,0,0.0,0,0,0,0,0,0,0,4,2,53,0,0,0,0,0,0.0,0.0,7.3,0,7.3
43,4269,195,7,219,2017,A,WR,73,2017,8569.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
44,4269,195,7,219,2017,H,WR,73,2017,8546.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,19,0,0,0,0.0,0.0,0.0,0,0.0
49,23066,254,3,68,2015,A,TE,76,2017,9483.35,0,0,0,0.0,0,0,0,0,0,0,0,1,1,-1,0,0,0,0,0,0.0,0.0,0.9,0,0.9
50,23066,254,3,68,2015,H,TE,76,2017,9498.0,0,0,0,0.0,0,0,0,0,0,0,0,4,2,11,0,0,0,0,0,0.0,0.0,3.1,0,3.1
57,3532,217,3,86,2016,A,WR,72,2017,8670.25,0,0,0,0.0,0,0,0,0,0,0,0,11,6,48,0,0,0,0,0,0.0,0.0,10.8,0,10.8
58,3532,217,3,86,2016,H,WR,72,2017,8666.5,0,0,0,0.0,0,0,0,0,0,0,0,1,1,21,0,0,0,0,0,0.0,0.0,3.1,0,3.1
63,6318,250,1,21,2013,H,TE,78,2017,9865.75,0,0,0,0.0,0,0,0,0,0,0,0,5,4,46,0,0,0,0,0,0.0,0.0,8.6,0,8.6
67,13178,266,0,0,0,H,TE,79,2017,9802.5,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
74,10586,230,2,57,2014,A,RB,72,2017,9879.7,0,0,0,0.0,0,0,0,0,64,256,2,28,18,122,0,0,0,0,0,0.0,37.6,30.2,0,67.8
75,10586,230,2,57,2014,H,RB,72,2017,9893.208333,0,0,0,0.0,0,0,0,0,93,383,2,45,31,173,0,0,0,0,0,0.0,50.3,48.3,0,98.6
86,6721,255,2,53,2006,A,TE,76,2017,12236.75,0,0,0,0.0,0,0,0,0,0,0,0,2,2,11,0,0,0,0,0,0.0,0.0,3.1,0,3.1
87,6721,255,2,53,2006,H,TE,76,2017,12239.65,0,0,0,0.0,0,0,0,0,0,0,0,7,5,34,1,0,0,0,0,0.0,0.0,14.4,0,14.4
102,1954,220,0,0,0,A,RB,71,2017,10128.75,0,0,0,0.0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0.0,0.1,0.0,0,0.1
103,1954,220,0,0,0,H,RB,71,2017,10122.08333,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
108,6975,221,7,250,2005,A,QB,74,2017,12768.0625,79,128,916,92.625,6,2,6,28,10,71,0,0,0,0,0,0,0,0,0,62.64,7.1,0.0,0,69.74
109,6975,221,7,250,2005,H,QB,74,2017,12743.5,17,35,187,51.9,1,1,1,6,5,7,0,0,0,0,0,0,0,0,0,10.48,0.7,0.0,0,11.18
114,12649,240,3,85,2015,A,TE,77,2017,9140.5,0,0,0,0.0,0,0,0,0,0,0,0,26,18,214,4,0,0,0,0,0.0,0.0,63.4,0,63.4
115,12649,240,3,85,2015,H,TE,77,2017,9127.7,0,0,0,0.0,0,0,0,0,0,0,0,16,13,103,1,0,0,0,0,0.0,0.0,29.3,0,29.3
124,14490,220,5,164,2014,A,QB,75,2017,9879.75,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0,0.0
129,18802,196,0,0,0,A,WR,74,2017,9719.25,0,0,0,0.0,0,0,0,0,0,0,0,13,11,116,1,0,0,0,0,0.0,0.0,28.6,0,28.6
