player_id,position_cleaned,game_location,receiving_targets,receiving_receptions,receiving_yards,receiving_touchdowns,total_combined_fantasy_points
19449,WR,A,26,11,117,0,22.7
19449,WR,H,46,26,343,2,72.3
15657,WR,A,13,3,52,1,13.7
15657,WR,H,10,6,81,0,14.1
10157,WR,A,2,2,108,2,24.8
10157,WR,H,4,2,53,0,7.3
4269,WR,A,0,0,0,0,0
4269,WR,H,0,0,0,0,0
3532,WR,A,11,6,48,0,10.8
3532,WR,H,1,1,21,0,3.1
18802,WR,A,13,11,116,1,28.6
18802,WR,H,26,13,146,0,27.6
24742,WR,A,30,17,194,1,42.4
24742,WR,H,21,14,151,0,29.1
10467,WR,A,32,22,195,0,41.5
10467,WR,H,25,17,182,0,35.2
13610,WR,A,23,8,77,0,15.7
13610,WR,H,34,18,245,0,42.5
20443,WR,A,0,0,0,0,0
20443,WR,H,0,0,0,0,0
4227,WR,A,12,7,116,2,30.6
4227,WR,H,14,9,172,1,32.2
24012,WR,A,2,1,15,0,2.5
24012,WR,H,4,2,16,0,3.6
11494,WR,H,0,0,0,0,0
13930,WR,A,6,2,19,0,3.9
13930,WR,H,4,2,35,1,11.5
22171,WR,A,35,20,224,2,54.4
22171,WR,H,13,8,146,0,22.1
3480,WR,A,0,0,0,0,0
8003,WR,A,10,9,122,0,21.2
8003,WR,H,16,7,84,0,15.4
13212,WR,A,1,1,26,0,3.6
13212,WR,H,0,0,0,0,0
1342,WR,A,17,10,92,0,19.2
1342,WR,H,30,18,122,4,54.2
8050,WR,A,6,3,60,0,9
8050,WR,H,19,10,219,2,43.9
2425,WR,A,17,8,146,2,34.6
2425,WR,H,18,8,77,0,15.7
15212,WR,A,0,0,0,0,0
15212,WR,H,2,1,11,0,8.1
1383,WR,A,28,16,169,2,44.9
1383,WR,H,13,9,133,1,29.1
5829,WR,A,8,5,84,0,14.1
5829,WR,H,3,2,56,0,7.6
7450,WR,A,11,7,140,2,33
7450,WR,H,22,10,186,5,59.5
11975,WR,A,30,20,225,4,66.5
11975,WR,H,36,22,295,1,57.5
12762,WR,A,29,18,210,2,51
12762,WR,H,31,19,163,0,35.3
14721,WR,A,3,2,31,0,3.1
14721,WR,H,5,2,63,0,8.3
23495,WR,A,0,0,0,0,0
23495,WR,H,0,0,0,0,0
18987,WR,A,4,3,26,0,5.6
18987,WR,H,12,11,159,1,33.2
7916,WR,A,29,23,337,1,65.6
7916,WR,H,25,19,304,2,60.5
1524,WR,A,23,13,175,2,47.2
1524,WR,H,15,10,200,1,44
21460,WR,A,0,0,0,0,0
5,WR,A,4,1,7,0,1.7
5,WR,H,3,2,37,0,5.7
17239,WR,A,7,6,55,0,12
17239,WR,H,6,4,13,0,5.2
10191,WR,A,56,36,609,1,102.9
10191,WR,H,69,33,395,8,120.5
18994,WR,A,6,3,13,0,4.3
18994,WR,H,16,8,74,0,15.4
11355,WR,A,2,1,16,0,2.6
11355,WR,H,3,1,6,0,1.6
14900,WR,A,19,13,103,0,29.1
14900,WR,H,12,9,70,1,36.6
137,WR,A,27,15,206,3,53.6
137,WR,H,26,18,252,3,61.2
8974,WR,A,4,3,33,0,6.3
8974,WR,H,1,0,0,0,0
4700,WR,A,24,15,213,0,36.3
4700,WR,H,42,27,289,6,91.9
20801,WR,A,20,10,139,1,29.9
20801,WR,H,18,12,140,1,31.7
17276,WR,A,1,1,3,0,1.3
17276,WR,H,0,0,0,0,0
19414,WR,A,6,3,35,0,7.6
19414,WR,H,20,12,80,0,25.3
484,WR,A,29,15,186,2,45.6
484,WR,H,45,26,528,5,108.9
24257,WR,A,19,10,109,0,20.9
24257,WR,H,40,31,367,0,68.3
22029,WR,A,44,26,261,1,58.1
22029,WR,H,52,32,390,2,83
9921,WR,A,33,14,296,2,55.6
9921,WR,H,41,24,444,1,74.4
9161,WR,A,0,0,0,0,0
9161,WR,H,0,0,0,0,0
4208,WR,A,25,9,132,0,22.2
4208,WR,H,22,10,141,0,24.1
5871,WR,A,3,1,8,0,1.8
8031,WR,A,6,4,49,0,8.9
8031,WR,H,3,1,21,0,3.1
20837,WR,A,1,1,9,0,1.9
20837,WR,H,5,2,23,0,4.3
9207,WR,A,0,0,0,0,0
9207,WR,H,5,4,62,1,16.2
22494,WR,A,11,4,54,0,9.4
22494,WR,H,14,10,98,0,19.8
9894,WR,A,41,31,535,4,119.5
9894,WR,H,36,23,191,0,41.1
15573,WR,A,2,1,46,0,5.6
15573,WR,H,0,0,0,0,0
20091,WR,A,36,30,373,1,73.9
20091,WR,H,15,8,102,0,18.9
12309,WR,A,11,5,65,0,12.6
12309,WR,H,14,7,82,1,20.4
6368,WR,A,28,12,142,2,38.1
6368,WR,H,27,16,181,0,35.9
21872,WR,A,5,2,15,0,3.5
21872,WR,H,5,4,40,0,8
13113,WR,A,28,14,197,0,33.7
13113,WR,H,52,30,354,2,79.1
23784,WR,H,4,2,6,0,2.6
7461,WR,A,45,29,303,3,77.3
7461,WR,H,38,21,340,2,67
21900,WR,A,10,5,95,0,17.2
21900,WR,H,14,9,121,1,27.4
21319,WR,A,43,23,316,2,66.6
21319,WR,H,26,20,319,3,69.9
24649,WR,A,36,25,346,2,71.6
24649,WR,H,34,22,357,2,70.9
14462,WR,A,1,1,4,0,1.4
14462,WR,H,0,0,0,0,0
19827,WR,H,0,0,0,0,0
20090,WR,A,9,8,115,1,25.5
20090,WR,H,18,6,58,0,12.9
7848,WR,H,0,0,0,0,0
2158,WR,A,4,4,31,0,7.1
2158,WR,H,8,5,34,1,14.4
3203,WR,A,0,0,0,0,1.2
3203,WR,H,0,0,0,0,0
9485,WR,A,1,1,1,0,1.1
9485,WR,H,0,0,0,0,0
15581,WR,A,17,10,154,1,31.4
